BodyPart,adj,totalM,pctM,totalF,pctF,diff,total
arm,huge,19,8.81E-05,3,2.06E-05,4.272592558,22
arm,beautiful,1,4.64E-06,22,0.000151173,-32.61095727,23
arm,enough,15,6.95E-05,8,5.50E-05,1.264912271,23
arm,immediately,13,6.03E-05,10,6.87E-05,-1.140243261,23
arm,loosely,12,5.56E-05,11,7.56E-05,-1.358789886,23
arm,stretch,15,6.95E-05,8,5.50E-05,1.264912271,23
arm,casually,19,8.81E-05,5,3.44E-05,2.563555535,24
arm,fat,10,4.64E-05,14,9.62E-05,-2.075242735,24
arm,forth,14,6.49E-05,10,6.87E-05,-1.058797314,24
arm,muscle,21,9.73E-05,3,2.06E-05,4.722339143,24
arm,tire,15,6.95E-05,9,6.18E-05,1.124366463,24
arm,warm,12,5.56E-05,12,8.25E-05,-1.482316239,24
arm,awkwardly,14,6.49E-05,11,7.56E-05,-1.164677045,25
arm,great,15,6.95E-05,10,6.87E-05,1.011929816,25
arm,small,12,5.56E-05,13,8.93E-05,-1.605842593,25
arm,soft,7,3.24E-05,18,0.000123687,-3.81167033,25
arm,weak,16,7.42E-05,10,6.87E-05,1.079391804,26
arm,whole,18,8.34E-05,8,5.50E-05,1.517894725,26
arm,loose,15,6.95E-05,13,8.93E-05,-1.284674074,28
arm,stiff,21,9.73E-05,7,4.81E-05,2.023859633,28
arm,wound,26,0.000120527,2,1.37E-05,8.770058409,28
arm,slightly,20,9.27E-05,9,6.18E-05,1.499155284,29
arm,wrap,21,9.73E-05,8,5.50E-05,1.770877179,29
arm,extend,22,0.000101984,8,5.50E-05,1.855204663,30
arm,injure,24,0.000111255,8,5.50E-05,2.023859633,32
arm,numb,26,0.000120527,6,4.12E-05,2.923352803,32
arm,protectively,19,8.81E-05,14,9.62E-05,-1.092233018,33
arm,cover,21,9.73E-05,13,8.93E-05,1.089770572,34
arm,limp,22,0.000101984,12,8.25E-05,1.236803109,34
arm,naked,12,5.56E-05,22,0.000151173,-2.717579772,34
arm,open,17,7.88E-05,17,0.000116815,-1.482316239,34
arm,raise,19,8.81E-05,16,0.000109944,-1.248266307,35
arm,wildly,23,0.00010662,13,8.93E-05,1.193558245,36
arm,slender,3,1.39E-05,34,0.00023363,-16.79958405,37
arm,brown,13,6.03E-05,25,0.000171787,-2.850608153,38
arm,firmly,19,8.81E-05,19,0.000130558,-1.482316239,38
arm,heavy,23,0.00010662,16,0.000109944,-1.031176514,39
arm,lightly,24,0.000111255,15,0.000103072,1.079391804,39
arm,forward,32,0.00014834,8,5.50E-05,2.69847951,40
arm,skinny,24,0.000111255,20,0.00013743,-1.235263533,44
arm,muscular,35,0.000162247,11,7.56E-05,2.146517792,46
arm,powerful,38,0.000176154,8,5.50E-05,3.204444419,46
arm,hard,29,0.000134434,18,0.000123687,1.086887581,47
arm,high,30,0.000139069,18,0.000123687,1.124366463,48
arm,cross,34,0.000157612,20,0.00013743,1.146853792,54
arm,short,39,0.00018079,15,0.000103072,1.754011682,54
arm,big,46,0.000213239,12,8.25E-05,2.586042864,58
arm,thick,45,0.000208604,15,0.000103072,2.023859633,60
arm,break,46,0.000213239,19,0.000130558,1.63329023,65
arm,outstretch,55,0.00025496,15,0.000103072,2.473606218,70
arm,down,48,0.000222511,24,0.000164916,1.349239755,72
arm,full,30,0.000139069,42,0.000288602,-2.075242735,72
arm,straight,46,0.000213239,29,0.000199273,1.070086702,75
arm,round,22,0.000101984,54,0.00037106,-3.638412588,76
arm,little,30,0.000139069,47,0.00032296,-2.322295442,77
