BodyPart,adj,totalM,pctM,totalF,pctF,diff,total
arm,casually,8,0.000113688,3,4.45E-05,2.556957708,11
arm,cover,5,7.11E-05,6,8.89E-05,-1.251487262,11
arm,fat,5,7.11E-05,6,8.89E-05,-1.251487262,11
arm,firmly,6,8.53E-05,5,7.41E-05,1.150630969,11
arm,forth,4,5.68E-05,7,0.000103745,-1.82508559,11
arm,injure,9,0.000127899,2,2.96E-05,4.314866132,11
arm,warm,7,9.95E-05,4,5.93E-05,1.678003496,11
arm,wildly,4,5.68E-05,7,0.000103745,-1.82508559,11
arm,forward,7,9.95E-05,6,8.89E-05,1.118668997,13
arm,break,8,0.000113688,6,8.89E-05,1.278478854,14
arm,soft,3,4.26E-05,11,0.000163028,-3.823988855,14
arm,wrap,11,0.000156321,3,4.45E-05,3.515816849,14
arm,awkwardly,7,9.95E-05,8,0.000118566,-1.19189263,15
arm,small,7,9.95E-05,8,0.000118566,-1.19189263,15
arm,lightly,7,9.95E-05,9,0.000133387,-1.340879209,16
arm,outstretch,12,0.000170532,4,5.93E-05,2.876577422,16
arm,slender,1,1.42E-05,15,0.000222311,-15.64359077,16
arm,cross,8,0.000113688,9,0.000133387,-1.173269308,17
arm,muscular,12,0.000170532,5,7.41E-05,2.301261937,17
arm,protectively,9,0.000127899,8,0.000118566,1.078716533,17
arm,big,12,0.000170532,6,8.89E-05,1.917718281,18
arm,brown,5,7.11E-05,13,0.00019267,-2.711555733,18
arm,hard,11,0.000156321,7,0.000103745,1.506778649,18
arm,muscle,15,0.000213165,3,4.45E-05,4.794295703,18
arm,open,10,0.00014211,8,0.000118566,1.198573926,18
arm,skinny,8,0.000113688,10,0.000148207,-1.303632564,18
arm,heavy,10,0.00014211,10,0.000148207,-1.042906051,20
arm,high,8,0.000113688,12,0.000177849,-1.564359077,20
arm,short,13,0.000184743,7,0.000103745,1.780738404,20
arm,straight,10,0.00014211,13,0.00019267,-1.355777867,23
arm,thick,13,0.000184743,12,0.000177849,1.038764069,25
arm,down,16,0.000227376,11,0.000163028,1.394704204,27
arm,round,7,9.95E-05,21,0.000311236,-3.128718154,28
arm,little,5,7.11E-05,25,0.000370519,-5.214530257,30
arm,white,6,8.53E-05,24,0.000355698,-4.171624205,30
arm,free,20,0.00028422,13,0.00019267,1.475167908,33
arm,slowly,17,0.000241587,18,0.000266773,-1.104253466,35
arm,full,15,0.000213165,26,0.000385339,-1.807703822,41
arm,gently,18,0.000255798,24,0.000355698,-1.390541402,42
arm,fold,28,0.000397908,25,0.000370519,1.073922237,53
arm,good,41,0.000582651,16,0.000237132,2.457076548,57
arm,tight,24,0.000341064,33,0.000489085,-1.433995821,57
arm,tightly,27,0.000383697,30,0.000444622,-1.158784501,57
arm,thin,18,0.000255798,44,0.000652113,-2.549325903,62
arm,strong,50,0.00071055,18,0.000266773,2.663497613,68
arm,other,52,0.000738972,21,0.000311236,2.374317872,73
arm,bare,23,0.000326853,72,0.001067094,-3.264749378,95
arm,still,64,0.000909504,33,0.000489085,1.859605606,97
arm,long,76,0.001080036,37,0.000548367,1.969548505,113
arm,back,68,0.000966348,55,0.000815141,1.185498574,123
arm,wide,71,0.001008981,60,0.000889245,1.134649983,131
arm,upper,50,0.00071055,91,0.001348688,-1.898089013,141
arm,right,130,0.001847431,65,0.000963348,1.917718281,195
body,lifeless,4,5.68E-05,7,0.000103745,-1.82508559,11
body,down,9,0.000127899,3,4.45E-05,2.876577422,12
body,great,6,8.53E-05,7,0.000103745,-1.216723727,13
body,discover,7,9.95E-05,7,0.000103745,-1.042906051,14
body,tense,6,8.53E-05,8,0.000118566,-1.390541402,14
body,white,5,7.11E-05,9,0.000133387,-1.877230892,14
body,break,12,0.000170532,3,4.45E-05,3.835436562,15
body,powerful,15,0.000213165,0,0,Inf,15
body,soft,6,8.53E-05,9,0.000133387,-1.564359077,15
body,tight,6,8.53E-05,9,0.000133387,-1.564359077,15
body,cover,10,0.00014211,6,8.89E-05,1.598098568,16
body,large,13,0.000184743,3,4.45E-05,4.155056276,16
body,slim,6,8.53E-05,10,0.000148207,-1.738176752,16
body,weak,7,9.95E-05,9,0.000133387,-1.340879209,16
body,perfect,9,0.000127899,8,0.000118566,1.078716533,17
body,young,6,8.53E-05,11,0.000163028,-1.911994427,17
body,cold,9,0.000127899,9,0.000133387,-1.042906051,18
body,hot,4,5.68E-05,14,0.00020749,-3.65017118,18
body,rigid,10,0.00014211,8,0.000118566,1.198573926,18
body,slightly,10,0.00014211,8,0.000118566,1.198573926,18
body,stiff,6,8.53E-05,12,0.000177849,-2.085812103,18
body,beautiful,7,9.95E-05,12,0.000177849,-1.787838945,19
body,right,12,0.000170532,7,0.000103745,1.643758527,19
body,slowly,12,0.000170532,7,0.000103745,1.643758527,19
body,tall,14,0.000198954,7,0.000103745,1.917718281,21
body,big,17,0.000241587,5,7.41E-05,3.260121078,22
body,good,13,0.000184743,9,0.000133387,1.385018759,22
body,tiny,7,9.95E-05,15,0.000222311,-2.234798681,22
body,with,9,0.000127899,13,0.00019267,-1.506419852,22
body,slender,8,0.000113688,16,0.000237132,-2.085812103,24
body,strong,14,0.000198954,10,0.000148207,1.342402797,24
body,lean,13,0.000184743,12,0.000177849,1.038764069,25
body,old,10,0.00014211,15,0.000222311,-1.564359077,25
body,forward,9,0.000127899,18,0.000266773,-2.085812103,27
body,low,16,0.000227376,11,0.000163028,1.394704204,27
body,hard,23,0.000326853,9,0.000133387,2.450417804,32
body,heavy,19,0.000270009,13,0.00019267,1.401409513,32
body,limp,17,0.000241587,16,0.000237132,1.018787837,33
body,thin,22,0.000312642,26,0.000385339,-1.232525333,48
body,small,16,0.000227376,33,0.000489085,-2.150993731,49
body,warm,31,0.000440541,18,0.000266773,1.65136852,49
body,dead,25,0.000355275,26,0.000385339,-1.084622293,51
body,upper,43,0.000611073,12,0.000177849,3.43591192,55
body,long,31,0.000440541,26,0.000385339,1.143255129,57
body,back,35,0.000497385,28,0.000414981,1.198573926,63
body,little,37,0.000525807,36,0.000533547,-1.014719401,73
body,naked,24,0.000341064,50,0.000741037,-2.17272094,74
body,still,45,0.000639495,30,0.000444622,1.438288711,75
body,whole,155,0.002202706,146,0.002163828,1.017966896,301
eye,dazzle,6,8.53E-05,5,7.41E-05,1.150630969,11
eye,glow,6,8.53E-05,5,7.41E-05,1.150630969,11
eye,sightless,6,8.53E-05,5,7.41E-05,1.150630969,11
eye,weak,7,9.95E-05,4,5.93E-05,1.678003496,11
eye,anxious,5,7.11E-05,7,0.000103745,-1.460068472,12
eye,direct,6,8.53E-05,6,8.89E-05,-1.042906051,12
eye,same,7,9.95E-05,5,7.41E-05,1.342402797,12
eye,visible,8,0.000113688,4,5.93E-05,1.917718281,12
eye,anxiously,10,0.00014211,3,4.45E-05,3.196197135,13
