BodyPart,adj,totalM,pctM,totalF,pctF,diff,total
arm,soft,4,2.79E-05,7,9.15E-05,-3.276598178,11
arm,forth,9,6.28E-05,3,3.92E-05,1.602271537,12
arm,casually,11,7.68E-05,2,2.61E-05,2.937497819,13
arm,enough,7,4.89E-05,6,7.84E-05,-1.604864414,13
arm,fat,5,3.49E-05,8,0.000104563,-2.995746906,13
arm,immediately,7,4.89E-05,6,7.84E-05,-1.604864414,13
arm,tire,8,5.58E-05,5,6.54E-05,-1.170213635,13
arm,warm,5,3.49E-05,8,0.000104563,-2.995746906,13
arm,protectively,9,6.28E-05,6,7.84E-05,-1.248227877,15
arm,wrap,10,6.98E-05,5,6.54E-05,1.068181025,15
arm,huge,15,0.000104711,1,1.31E-05,8.011357687,16
arm,open,7,4.89E-05,9,0.000117633,-2.407296621,16
arm,loosely,10,6.98E-05,7,9.15E-05,-1.310639271,17
arm,stretch,11,7.68E-05,6,7.84E-05,-1.021277354,17
arm,weak,11,7.68E-05,6,7.84E-05,-1.021277354,17
arm,heavy,13,9.07E-05,5,6.54E-05,1.388635332,18
arm,slender,2,1.40E-05,17,0.000222196,-15.91490544,19
arm,beautiful,0,0,20,0.000261407,#NAME?,20
arm,brown,8,5.58E-05,12,0.000156844,-2.808512724,20
arm,great,10,6.98E-05,10,0.000130704,-1.872341816,20
arm,slightly,15,0.000104711,5,6.54E-05,1.602271537,20
arm,stiff,17,0.000118673,3,3.92E-05,3.026512904,20
arm,whole,15,0.000104711,5,6.54E-05,1.602271537,20
arm,injure,15,0.000104711,6,7.84E-05,1.335226281,21
arm,loose,13,9.07E-05,8,0.000104563,-1.152210348,21
arm,extend,19,0.000132634,3,3.92E-05,3.382573246,22
arm,cover,16,0.000111692,7,9.15E-05,1.220778314,23
arm,lightly,17,0.000118673,6,7.84E-05,1.513256452,23
arm,limp,15,0.000104711,9,0.000117633,-1.12340509,24
arm,wound,22,0.000153577,2,2.61E-05,5.874995637,24
arm,numb,23,0.000160557,2,2.61E-05,6.142040893,25
arm,wildly,19,0.000132634,6,7.84E-05,1.691286623,25
arm,muscular,20,0.000139615,6,7.84E-05,1.780301708,26
arm,naked,11,7.68E-05,15,0.000196055,-2.553193385,26
arm,skinny,16,0.000111692,10,0.000130704,-1.170213635,26
arm,firmly,13,9.07E-05,14,0.000182985,-2.01636811,27
arm,forward,25,0.000174519,2,2.61E-05,6.676131406,27
arm,hard,17,0.000118673,10,0.000130704,-1.101377539,27
arm,raise,17,0.000118673,10,0.000130704,-1.101377539,27
arm,high,22,0.000153577,6,7.84E-05,1.958331879,28
arm,full,15,0.000104711,16,0.000209126,-1.997164604,31
arm,thick,30,0.000209423,3,3.92E-05,5.340905125,33
arm,short,26,0.0001815,8,0.000104563,1.735794165,34
arm,tight,18,0.000125654,16,0.000209126,-1.664303836,34
arm,cross,25,0.000174519,10,0.000130704,1.335226281,35
arm,powerful,31,0.000216403,5,6.54E-05,3.311361177,36
arm,big,33,0.000230365,6,7.84E-05,2.937497819,39
arm,down,32,0.000223384,13,0.000169915,1.314684338,45
arm,free,26,0.0001815,20,0.000261407,-1.440262935,46
arm,little,24,0.000167538,22,0.000287548,-1.716313331,46
arm,gently,25,0.000174519,23,0.000300618,-1.722554471,48
arm,round,15,0.000104711,33,0.000431322,-4.119151995,48
arm,break,37,0.000258288,13,0.000169915,1.520103766,50
arm,straight,36,0.000251307,16,0.000209126,1.201703653,52
arm,outstretch,42,0.000293192,11,0.000143774,2.039254684,53
