BodyPart,totalM,totalF,pctM,pctF,diff
skin,3058,2371,0.0072918,0.0113866,-1.5615483
breast,1184,3876,0.0028233,0.0186142,-6.5931568
body,11781,6292,0.0280919,0.0302169,-1.0756424
stomach,2604,994,0.0062093,0.0047736,1.3007483
waist,983,1058,0.002344,0.005081,-2.1676716
spine,522,289,0.0012447,0.0013879,-1.1150355
belly,1446,944,0.003448,0.0045335,-1.3148162
hip,1100,1339,0.002623,0.0064305,-2.4515978
lap,1785,1679,0.0042564,0.0080633,-1.8944093
wrist,1842,1067,0.0043923,0.0051242,-1.166638
nail,557,483,0.0013282,0.0023196,-1.7464384
fingertip,637,330,0.0015189,0.0015848,-1.043364
thigh,1180,1109,0.0028137,0.0053259,-1.8928268
ankle,882,670,0.0021031,0.0032176,-1.5299159
toe,1034,436,0.0024656,0.0020939,1.177532
shoulder,11536,5574,0.0275077,0.0267687,1.0276067
chest,6143,1574,0.0146481,0.007559,1.9378245
lung,1140,370,0.0027183,0.0017769,1.5298251
arm,20925,9885,0.0498959,0.047472,1.0510599
rib,546,185,0.0013019,0.0008884,1.4654114
gut,689,133,0.0016429,0.0006387,2.5722089
back,9518,1649,0.0226958,0.0079192,2.8659176
elbow,1930,794,0.0046021,0.0038131,1.2069116
forearm,764,253,0.0018218,0.001215,1.4993793
ass,1058,404,0.0025228,0.0019402,1.3002982
hand,60391,26109,0.1440031,0.1253866,1.1484726
palm,1897,755,0.0045234,0.0036258,1.2475531
thumb,1811,498,0.0043184,0.0023916,1.8056259
fist,3021,683,0.0072036,0.0032801,2.1961838
knuckle,665,183,0.0015857,0.0008788,1.8043019
hair,10055,11947,0.0239763,0.0573746,-2.3929748
eyelid,720,454,0.0017168,0.0021803,-1.2699444
eye,50653,27704,0.1207827,0.1330465,-1.1015359
cheek,4015,3496,0.0095738,0.0167893,-1.7536673
face,37530,21260,0.0894907,0.1020996,-1.1408959
lip,9281,6283,0.0221307,0.0301737,-1.3634324
smile,3692,2650,0.0088036,0.0127264,-1.4455913
head,49995,20097,0.1192137,0.0965144,1.2351907
brain,2992,748,0.0071345,0.0035922,1.9860888
forehead,3628,1425,0.008651,0.0068435,1.2641281
brow,1968,737,0.0046927,0.0035394,1.3258557
eyebrow,1674,742,0.0039917,0.0035634,1.1201862
pupil,538,201,0.0012829,0.0009653,1.3289997
ear,7034,2549,0.0167727,0.0122414,1.3701597
nose,6027,2312,0.0143715,0.0111032,1.2943509
nostril,766,270,0.0018265,0.0012967,1.4086518
grin,568,101,0.0013544,0.000485,2.7923228
jaw,1675,444,0.0039941,0.0021323,1.8731411
mouth,13089,6213,0.0312109,0.0298375,1.0460291
tooth,5196,2063,0.0123899,0.0099074,1.2505716
neck,6304,3049,0.015032,0.0146426,1.026591
throat,4887,2075,0.0116531,0.009965,1.1693995
fingernail,389,317,0.0009276,0.0015224,-1.6412359
foot,16252,6268,0.0387531,0.0301016,1.2874088
heart,10511,4920,0.0250636,0.0236279,1.0607611
knee,6521,2865,0.0155494,0.013759,1.1301296
leg,9671,4606,0.0230606,0.02212,1.0425241
bone,1113,446,0.002654,0.0021419,1.2390789
