"BodyPart","adj","totalM","pctM","totalF","pctF","diff","total"
"ankle","3",1,4.97482737349014e-06,0,0,Inf,1
"ankle","abominably",1,4.97482737349014e-06,0,0,Inf,1
"ankle","ache",2,9.94965474698028e-06,0,0,Inf,2
"ankle","actually",1,4.97482737349014e-06,0,0,Inf,1
"ankle","afflict",1,4.97482737349014e-06,0,0,Inf,1
"ankle","again",4,1.98993094939606e-05,2,1.49121302723701e-05,1.33443774501025,6
"ankle","ago",1,4.97482737349014e-06,0,0,Inf,1
"ankle","alarmingly",1,4.97482737349014e-06,0,0,Inf,1
"ankle","almost",7,3.4823791614431e-05,11,8.20167164980353e-05,-2.35519203095758,18
"ankle","already",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","also",2,9.94965474698028e-06,0,0,Inf,2
"ankle","angrily",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","anyway",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","apart",1,4.97482737349014e-06,2,1.49121302723701e-05,-2.99751713030965,3
"ankle","as",2,9.94965474698028e-06,8,5.96485210894802e-05,-5.9950342606193,10
"ankle","back",3,1.49244821204704e-05,2,1.49121302723701e-05,1.00082830875769,5
"ankle","bad",3,1.49244821204704e-05,7,5.21924559532952e-05,-3.49710331869459,10
"ankle","badly",2,9.94965474698028e-06,1,7.45606513618503e-06,1.33443774501025,3
"ankle","bandage",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","bare",9,4.47734463614113e-05,11,8.20167164980353e-05,-1.83181602407812,20
"ankle","be",1,4.97482737349014e-06,0,0,Inf,1
"ankle","bear",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","beautiful",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","big",0,0,2,1.49121302723701e-05,-Inf,2
"ankle","blue",1,4.97482737349014e-06,1,7.45606513618503e-06,-1.49875856515482,2
"ankle","boot",1,4.97482737349014e-06,1,7.45606513618503e-06,-1.49875856515482,2
"ankle","both",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","break",4,1.98993094939606e-05,1,7.45606513618503e-06,2.6688754900205,5
"ankle","burn",1,4.97482737349014e-06,0,0,Inf,1
"ankle","carefully",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","casually",1,4.97482737349014e-06,1,7.45606513618503e-06,-1.49875856515482,2
"ankle","clearly",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","click",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","close",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","clothe",2,9.94965474698028e-06,0,0,Inf,2
"ankle","coal",1,4.97482737349014e-06,0,0,Inf,1
"ankle","comically",1,4.97482737349014e-06,0,0,Inf,1
"ankle","continually",1,4.97482737349014e-06,0,0,Inf,1
"ankle","cool",1,4.97482737349014e-06,0,0,Inf,1
"ankle","cover",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","cross",0,0,4,2.98242605447401e-05,-Inf,4
"ankle","cruelly",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","cut",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","dainty",0,0,2,1.49121302723701e-05,-Inf,2
"ankle","damn",1,4.97482737349014e-06,0,0,Inf,1
"ankle","damp",0,0,2,1.49121302723701e-05,-Inf,2
"ankle","dangle",1,4.97482737349014e-06,0,0,Inf,1
"ankle","dead",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","deep",1,4.97482737349014e-06,0,0,Inf,1
"ankle","delicate",0,0,5,3.72803256809251e-05,-Inf,5
"ankle","demurely",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","dirty",0,0,2,1.49121302723701e-05,-Inf,2
"ankle","dour",1,4.97482737349014e-06,0,0,Inf,1
"ankle","down",1,4.97482737349014e-06,0,0,Inf,1
"ankle","duct",1,4.97482737349014e-06,0,0,Inf,1
"ankle","dusty",1,4.97482737349014e-06,0,0,Inf,1
"ankle","elegant",2,9.94965474698028e-06,0,0,Inf,2
"ankle","enough",2,9.94965474698028e-06,0,0,Inf,2
"ankle","even",6,2.98489642409408e-05,2,1.49121302723701e-05,2.00165661751537,8
"ankle","ever",1,4.97482737349014e-06,0,0,Inf,1
"ankle","evidently",1,4.97482737349014e-06,0,0,Inf,1
"ankle","fake",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","familiarly",1,4.97482737349014e-06,0,0,Inf,1
"ankle","far",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","fast",1,4.97482737349014e-06,0,0,Inf,1
"ankle","fat",1,4.97482737349014e-06,0,0,Inf,1
"ankle","favourite",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","fester",2,9.94965474698028e-06,0,0,Inf,2
"ankle","finally",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","fine",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","first",0,0,2,1.49121302723701e-05,-Inf,2
"ankle","fracture",1,4.97482737349014e-06,0,0,Inf,1
"ankle","fragile",1,4.97482737349014e-06,2,1.49121302723701e-05,-2.99751713030965,3
"ankle","frail",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","freeze",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","from",1,4.97482737349014e-06,0,0,Inf,1
"ankle","furiously",2,9.94965474698028e-06,0,0,Inf,2
"ankle","gently",1,4.97482737349014e-06,0,0,Inf,1
"ankle","gingerly",2,9.94965474698028e-06,1,7.45606513618503e-06,1.33443774501025,3
"ankle","good",1,4.97482737349014e-06,8,5.96485210894802e-05,-11.9900685212386,9
"ankle","goose",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","gray",1,4.97482737349014e-06,0,0,Inf,1
"ankle","green",1,4.97482737349014e-06,0,0,Inf,1
"ankle","hairless",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","hairy",1,4.97482737349014e-06,1,7.45606513618503e-06,-1.49875856515482,2
"ankle","hard",2,9.94965474698028e-06,2,1.49121302723701e-05,-1.49875856515482,4
"ankle","hardly",1,4.97482737349014e-06,0,0,Inf,1
"ankle","heavily",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","high",1,4.97482737349014e-06,1,7.45606513618503e-06,-1.49875856515482,2
"ankle","horsy",1,4.97482737349014e-06,0,0,Inf,1
"ankle","hour",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","how",0,0,3,2.23681954085551e-05,-Inf,3
"ankle","hurt",0,0,2,1.49121302723701e-05,-Inf,2
"ankle","impossibly",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","in",2,9.94965474698028e-06,2,1.49121302723701e-05,-1.49875856515482,4
"ankle","infect",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","inflame",2,9.94965474698028e-06,0,0,Inf,2
"ankle","injure",5,2.48741368674507e-05,1,7.45606513618503e-06,3.33609436252562,6
"ankle","innocent",1,4.97482737349014e-06,0,0,Inf,1
"ankle","into",1,4.97482737349014e-06,0,0,Inf,1
"ankle","inward",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","itch",1,4.97482737349014e-06,0,0,Inf,1
"ankle","just",7,3.4823791614431e-05,11,8.20167164980353e-05,-2.35519203095758,18
"ankle","kick",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","large",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","late",0,0,2,1.49121302723701e-05,-Inf,2
"ankle","leave",32,0.000159194475951684,20,0.000149121302723701,1.0675501960082,52
"ankle","like",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","little",0,0,4,2.98242605447401e-05,-Inf,4
"ankle","long",2,9.94965474698028e-06,1,7.45606513618503e-06,1.33443774501025,3
"ankle","loose",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","loosely",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","lovely",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","make",1,4.97482737349014e-06,0,0,Inf,1
"ankle","mangle",1,4.97482737349014e-06,0,0,Inf,1
"ankle","meanwhile",1,4.97482737349014e-06,0,0,Inf,1
"ankle","mint",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","momentarily",1,4.97482737349014e-06,0,0,Inf,1
"ankle","month",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","mottle",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","much",5,2.48741368674507e-05,0,0,Inf,5
"ankle","muddy",1,4.97482737349014e-06,0,0,Inf,1
"ankle","narrow",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","near",1,4.97482737349014e-06,0,0,Inf,1
"ankle","nearly",5,2.48741368674507e-05,4,2.98242605447401e-05,-1.19900685212386,9
"ankle","neat",1,4.97482737349014e-06,1,7.45606513618503e-06,-1.49875856515482,2
"ankle","neatly",0,0,3,2.23681954085551e-05,-Inf,3
"ankle","new",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","no",1,4.97482737349014e-06,0,0,Inf,1
"ankle","now",0,0,4,2.98242605447401e-05,-Inf,4
"ankle","numb",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","of",1,4.97482737349014e-06,0,0,Inf,1
"ankle","old",1,4.97482737349014e-06,0,0,Inf,1
"ankle","once",3,1.49244821204704e-05,1,7.45606513618503e-06,2.00165661751537,4
"ankle","only",3,1.49244821204704e-05,0,0,Inf,3
"ankle","open",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","other",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","outward",1,4.97482737349014e-06,0,0,Inf,1
"ankle","own",4,1.98993094939606e-05,4,2.98242605447401e-05,-1.49875856515482,8
"ankle","painful",2,9.94965474698028e-06,0,0,Inf,2
"ankle","pale",1,4.97482737349014e-06,2,1.49121302723701e-05,-2.99751713030965,3
"ankle","particularly",1,4.97482737349014e-06,0,0,Inf,1
"ankle","partly",1,4.97482737349014e-06,0,0,Inf,1
"ankle","patrol",1,4.97482737349014e-06,0,0,Inf,1
"ankle","perfect",1,4.97482737349014e-06,0,0,Inf,1
"ankle","perpendicularly",1,4.97482737349014e-06,0,0,Inf,1
"ankle","pimple",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","pinion",1,4.97482737349014e-06,0,0,Inf,1
"ankle","pliant",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","plump",0,0,3,2.23681954085551e-05,-Inf,3
"ankle","poor",1,4.97482737349014e-06,0,0,Inf,1
"ankle","powder",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","pretty",0,0,2,1.49121302723701e-05,-Inf,2
"ankle","prior",0,0,1,7.45606513618503e-06,-Inf,1
