BodyPart,adj,totalM,pctM,totalF,pctF,diff,total
head,back,618,0.028629667,598,0.027932178,1.024970818,1216
eye,blue,499,0.023116835,306,0.014293054,1.617347452,805
hand,right,479,0.022190309,240,0.011210239,1.979467981,719
hair,back,191,0.008848328,490,0.022887571,-2.586654974,681
hair,long,193,0.00894098,391,0.018263347,-2.042656023,584
eye,dark,298,0.013805244,238,0.01111682,1.241833915,536
hand,together,244,0.011303623,266,0.012424681,-1.09917692,510
hand,own,291,0.01348096,206,0.009622122,1.401038204,497
eye,wide,197,0.009126286,264,0.012331263,-1.351180881,461
hair,dark,183,0.008477717,270,0.012611519,-1.487607862,453
lip,low,184,0.008524043,193,0.0090149,-1.057584986,377
hand,other,249,0.011535254,123,0.005745247,2.007790732,372
hair,black,184,0.008524043,177,0.008267551,1.031023979,361
mouth,open,176,0.008153433,181,0.008454388,-1.036911516,357
foot,bare,117,0.00542018,237,0.011070111,-2.042388116,354
hand,back,176,0.008153433,177,0.008267551,-1.013996344,353
hand,still,199,0.009218938,136,0.006352469,1.451237117,335
eye,still,172,0.007968127,162,0.007566911,1.053022478,334
eye,brown,163,0.007551191,161,0.007520202,1.004120741,324
head,slowly,178,0.008246085,146,0.006819562,1.209181116,324
body,whole,158,0.007319559,155,0.007239946,1.010996375,313
hair,blond,84,0.003891411,207,0.009668831,-2.484659322,291
eye,open,155,0.00718058,135,0.006305759,1.13873361,290
hand,free,160,0.007412212,122,0.005698538,1.300721627,282
eye,bright,131,0.006068748,139,0.006492597,-1.069841142,270
eye,black,159,0.007365885,92,0.004297258,1.714089547,251
leg,long,142,0.006578338,108,0.005044607,1.30403365,250
face,white,117,0.00542018,132,0.006165631,-1.137532622,249
eye,close,134,0.006207727,113,0.005278154,1.1761171,247
lip,together,82,0.003798758,159,0.007426783,-1.955055373,241
face,red,143,0.006624664,93,0.004343967,1.525026177,236
body,own,114,0.005281201,113,0.005278154,1.000577234,227
hair,white,123,0.005698138,104,0.00485777,1.172994516,227
hair,brown,94,0.004354674,131,0.006118922,-1.405138821,225
eye,own,103,0.004771611,120,0.005605119,-1.174680642,223
face,pale,99,0.004586306,124,0.005791957,-1.262880569,223
hair,short,62,0.002872232,157,0.007333364,-2.553193637,219
eye,green,86,0.003984064,132,0.006165631,-1.54757345,218
lip,upper,121,0.005605485,96,0.004484095,1.250081554,217
head,slightly,114,0.005281201,102,0.004764351,1.108482622,216
arm,right,141,0.006532011,68,0.003176234,2.05652697,209
face,still,104,0.004817938,93,0.004343967,1.109109947,197
eye,gray,126,0.005837117,69,0.003222944,1.811113483,195
hair,red,47,0.002177337,141,0.006586015,-3.024802653,188
eye,red,93,0.004308348,90,0.00420384,1.024860249,183
face,own,83,0.003845085,90,0.00420384,-1.093302164,173
eye,large,71,0.003289169,101,0.004717642,-1.434296094,172
finger,long,121,0.005605485,51,0.002382176,2.353094689,172
hair,thick,112,0.005188548,60,0.00280256,1.85136045,172
face,close,102,0.004725285,65,0.003036106,1.556363455,167
heart,own,77,0.003567127,85,0.003970293,-1.113022621,162
eye,big,46,0.002131011,113,0.005278154,-2.476831158,159
hair,still,74,0.003428148,85,0.003970293,-1.15814516,159
hand,glove,54,0.002501621,100,0.004670933,-1.867162132,154
hand,small,38,0.0017604,111,0.005184735,-2.945202583,149
head,forward,79,0.003659779,68,0.003176234,1.152238515,147
hair,gray,66,0.003057537,80,0.003736746,-1.222142486,146
arm,upper,50,0.002316316,94,0.004390677,-1.895542996,144
hand,down,83,0.003845085,59,0.00275585,1.395244407,142
hand,big,119,0.005512832,22,0.001027605,5.364737667,141
head,high,54,0.002501621,84,0.003923584,-1.56841619,138
eye,pale,73,0.003381822,63,0.002942688,1.149228851,136
eye,right,78,0.003613453,57,0.002662432,1.35720033,135
eye,very,80,0.003706106,55,0.002569013,1.442618532,135
mouth,wide,71,0.003289169,64,0.002989397,1.100278392,135
face,little,58,0.002686927,75,0.0035032,-1.303794247,133
eye,full,55,0.002547948,77,0.003596618,-1.411574571,132
arm,wide,74,0.003428148,56,0.002615722,1.310593175,130
head,own,71,0.003289169,53,0.002475594,1.328638059,124
eye,slowly,64,0.002964885,59,0.00275585,1.075851109,123
hair,straight,31,0.001436116,91,0.004250549,-2.959753134,122
face,suddenly,69,0.003196516,52,0.002428885,1.316042627,121
heart,fast,58,0.002686927,62,0.002895978,-1.077803244,120
head,still,63,0.002918558,56,0.002615722,1.115775271,119
eye,small,73,0.003381822,45,0.00210192,1.608920391,118
hand,gently,57,0.0026406,61,0.002849269,-1.079023169,118
hand,little,37,0.001714074,81,0.003783456,-2.207288423,118
hair,thin,76,0.003520801,41,0.001915082,1.838458983,117
hair,wet,53,0.002455295,64,0.002989397,-1.217530628,117
lip,bottom,41,0.001899379,74,0.00345649,-1.81979997,115
finger,little,49,0.00226999,65,0.003036106,-1.337497772,114
hand,slowly,76,0.003520801,37,0.001728245,2.037211306,113
face,very,69,0.003196516,43,0.002008501,1.59149341,112
body,entire,50,0.002316316,61,0.002849269,-1.230086412,111
hair,curly,63,0.002918558,48,0.002242048,1.301737816,111
hand,bare,55,0.002547948,56,0.002615722,-1.026599688,111
hand,cold,39,0.001806727,71,0.003316362,-1.835564003,110
eye,clear,63,0.002918558,46,0.002148629,1.358335113,109
face,round,47,0.002177337,62,0.002895978,-1.330055067,109
hand,large,76,0.003520801,33,0.001541408,2.284146009,109
arm,long,74,0.003428148,33,0.001541408,2.224036904,107
eye,suddenly,54,0.002501621,53,0.002475594,1.010513453,107
hand,good,63,0.002918558,44,0.00205521,1.420077618,107
heart,hard,52,0.002408969,55,0.002569013,-1.066436833,107
hand,hard,58,0.002686927,47,0.002195338,1.223923702,105
head,down,56,0.002594274,49,0.002288757,1.13348599,105
eye,briefly,53,0.002455295,51,0.002382176,1.030694368,104
foot,own,54,0.002501621,49,0.002288757,1.093004347,103
face,thin,43,0.001992032,59,0.00275585,-1.383436872,102
hair,own,27,0.001250811,74,0.00345649,-2.763399955,101
face,dark,71,0.003289169,29,0.001354571,2.42820059,100
hand,white,40,0.001853053,60,0.00280256,-1.512401327,100
eye,good,56,0.002594274,43,0.002008501,1.291646825,99
eye,little,54,0.002501621,43,0.002008501,1.245516582,97
arm,still,64,0.002964885,32,0.001494698,1.983600482,96
hand,lightly,48,0.002223663,48,0.002242048,-1.008267551,96
arm,bare,21,0.000972853,74,0.00345649,-3.552942799,95
eye,round,40,0.001853053,55,0.002569013,-1.386367883,95
hair,loose,10,0.000463263,85,0.003970293,-8.570274184,95
face,handsome,84,0.003891411,10,0.000467093,8.331122024,94
hand,suddenly,47,0.002177337,46,0.002148629,1.013361116,93
hand,tightly,34,0.001575095,59,0.00275585,-1.74964075,93
face,hard,50,0.002316316,41,0.001915082,1.209512489,91
face,long,56,0.002594274,35,0.001634826,1.586880385,91
shoulder,broad,79,0.003659779,12,0.000560512,6.529351586,91
skin,pale,30,0.00138979,61,0.002849269,-2.05014402,91
hand,long,44,0.002038358,42,0.001961792,1.039028824,86
head,bald,71,0.003289169,13,0.000607221,5.416755162,84
face,hot,33,0.001528769,50,0.002335466,-1.527678108,83
eye,half,46,0.002131011,36,0.001681536,1.267300308,82
foot,right,37,0.001714074,45,0.00210192,-1.226271346,82
eye,deep,46,0.002131011,34,0.001588117,1.341847385,80
eye,slightly,46,0.002131011,34,0.001588117,1.341847385,80
skin,white,27,0.001250811,53,0.002475594,-1.979191859,80
