"BodyPart","adj","totalM","pctM","totalF","pctF","diff","total"
"arm","bare",48,0.00115257167555107,100,0.00419252054335066,-3.63753563642462,148
"arm","bend",12,0.000288142918887768,4,0.000167700821734027,1.71819622532776,16
"arm","big",32,0.000768381117034049,4,0.000167700821734027,4.58185660087403,36
"arm","break",16,0.000384190558517024,6,0.00025155123260104,1.52728553362468,22
"arm","brown",8,0.000192095279258512,12,0.00050310246520208,-2.61902565822573,20
"arm","casually",12,0.000288142918887768,2,8.38504108670133e-05,3.43639245065553,14
"arm","close",12,0.000288142918887768,14,0.000586952876069093,-2.03701995639779,26
"arm","down",33,0.000792393026941363,13,0.000545027670635586,1.45385834450811,46
"arm","far",18,0.000432214378331653,4,0.000167700821734027,2.57729433799164,22
"arm","finally",13,0.000312154828795082,5,0.000209626027167533,1.48910339528406,18
"arm","firmly",14,0.000336166738702396,14,0.000586952876069093,-1.74601710548382,28
"arm","fold",24,0.000576285837775537,10,0.000419252054335066,1.37455698026221,34
"arm","forward",26,0.000624309657590165,2,8.38504108670133e-05,7.4455169764203,28
"arm","free",26,0.000624309657590165,19,0.000796578903236626,-1.27593557708433,45
"arm","full",9,0.000216107189165826,16,0.000670803286936106,-3.10403040974901,25
"arm","gently",25,0.000600297747682851,23,0.000964279724970652,-1.60633573704511,48
"arm","good",82,0.00196897661239975,13,0.000545027670635586,3.6126177045353,95
"arm","great",10,0.00024011909907314,9,0.00037732684890156,-1.57141539493544,19
"arm","hard",18,0.000432214378331653,12,0.00050310246520208,-1.16401140365588,30
"arm","heavy",16,0.000384190558517024,4,0.000167700821734027,2.29092830043702,20
"arm","high",21,0.000504250108053595,8,0.000335401643468053,1.50342169716179,29
"arm","injure",13,0.000312154828795082,6,0.00025155123260104,1.24091949607005,19
"arm","late",11,0.000264131008980454,8,0.000335401643468053,-1.26983062217005,19
"arm","lightly",18,0.000432214378331653,8,0.000335401643468053,1.28864716899582,26
"arm","limp",14,0.000336166738702396,8,0.000335401643468053,1.00228113144119,22
"arm","little",22,0.000528262017960909,21,0.000880429314103639,-1.66665269159819,43
"arm","long",146,0.00350573884646785,40,0.00167700821734026,2.09047207414878,186
"arm","loosely",10,0.00024011909907314,7,0.000293476438034546,-1.22221197383867,17
"arm","muscular",15,0.00036017864860971,7,0.000293476438034546,1.22728301809126,22
