"BodyPart","totalM","totalF","pctM","pctF","diff"
"skin",770,581,0.0216073633404422,0.0231271395589523,-1.07033603288679
"breast",332,651,0.00931642159613874,0.0259135419154526,-2.78149090270804
"body",1112,879,0.0312044000448984,0.0349892524480535,-1.12129226640183
"stomach",669,389,0.0187731507464362,0.0154844359525515,1.21238841401535
"waist",448,412,0.0125715568526209,0.0163999681554016,-1.30452960978994
"spine",291,175,0.00816589965203727,0.0069660058912507,1.17224989176274
"belly",467,309,0.0131047255584241,0.0122999761165512,1.0654269109344
"hip",464,469,0.0130205410259288,0.0186688957885519,-1.43380338431214
"lap",615,588,0.0172578291615221,0.0234057797946023,-1.35624125001699
"wrist",578,419,0.0162195532607476,0.0166786083910517,-1.02830257547321
"nail",299,257,0.00839039173869121,0.010230077223151,-1.21926097633515
"fingertip",281,157,0.00788528454371983,0.00624950242815062,1.26174597647981
"thigh",477,367,0.0133853406667415,0.0146087094976515,-1.09139616699855
"ankle",397,317,0.011140419800202,0.0126184221001513,-1.13267025179091
"toe",472,256,0.0132450331125828,0.010190271475201,1.29977235099338
"shoulder",1101,844,0.0308957234257492,0.0335960512698034,-1.08740134700337
"chest",940,493,0.0263778201818386,0.019624233739352,1.34414523044249
"lung",489,205,0.0137220787967224,0.00816017832975082,1.68159055381103
"arm",1187,979,0.0333090133572792,0.0389698272430539,-1.16994841081168
"rib",308,117,0.0086429453361769,0.00465727251015047,1.85579549346527
"gut",326,91,0.00914805253114828,0.00362232306345036,2.52546566689568
"back",1099,504,0.0308396004040858,0.020062096966802,1.53720722490366
"elbow",620,398,0.0173981367156808,0.0158426876841016,1.09818088083249
"forearm",332,154,0.00931642159613874,0.00613008518430061,1.51978664505323
"ass",319,142,0.00895162195532608,0.00565241620890057,1.5836806109979
"hand",1267,1093,0.0355539342238186,0.0435076825093543,-1.223709371668
"palm",548,304,0.0153777079357953,0.0121009473768012,1.2707854564574
"thumb",590,263,0.0165562913907285,0.010468911710851,1.58147206204517
"fist",778,329,0.0218318554270962,0.0130960910755513,1.66705128279487
"knuckle",351,122,0.00984959030194186,0.00485630124990049,2.02820825873265
"hair",1064,1008,0.0298574475249747,0.040124193933604,-1.34385881110706
"eyelid",339,239,0.00951285217196094,0.00951357376005095,-1.00007585402117
"eye",1237,1084,0.0347120888988663,0.0431494307778043,-1.24306638253665
"cheek",813,722,0.0228140083062072,0.0287397500199029,-1.25974136741606
"face",1211,1063,0.033982489617241,0.0423135100708542,-1.24515627158131
"lip",970,816,0.0272196655067909,0.0324814903272032,-1.19330967969094
"smile",780,656,0.0218879784487597,0.0261125706552026,-1.1930097023959
"head",1244,1056,0.0349085194746885,0.0420348698352042,-1.20414358637246
"brain",771,347,0.021635424851274,0.0138125945386514,1.56635487929022
"forehead",824,545,0.0231226849253564,0.0216941326327522,1.06584970769689
"brow",550,300,0.0154338309574588,0.0119417243850012,1.2924290043776
"eyebrow",539,314,0.0151251543383096,0.0124990048563012,1.21010868562743
"pupil",260,123,0.00729599281625323,0.00489610699785049,1.49016204495865
"ear",1018,664,0.0285666180267146,0.0264310166388026,1.0807990633541
"nose",939,644,0.0263497586710068,0.0256349016798026,1.02788608281527
"nostril",365,186,0.0102424514535863,0.00740386911870074,1.38339174955373
"grin",292,75,0.00819396116286901,0.0029854310962503,2.7446492311146
"jaw",610,263,0.0171175216073633,0.010468911710851,1.63508128448738
"mouth",1110,851,0.0311482770232349,0.0338746915054534,-1.08753018602553
"tooth",905,595,0.0253956673027276,0.0236844200302524,1.07225202349432
"neck",1010,735,0.0283421259400606,0.0292572247432529,-1.03228758509957
"throat",858,572,0.0240767762936356,0.0227688878274023,1.05744191267258
