"BodyPart","totalM","totalF","pctM","pctF","diff"
"skin",439,449,0.0242006615214994,0.0254246885617214,-1.05057824717455
"breast",115,384,0.00633958103638368,0.0217440543601359,-3.42988822689448
"body",550,565,0.0303197353914002,0.0319932049830125,-1.05519406980336
"stomach",336,338,0.0185226019845645,0.0191392978482446,-1.0332942350213
"waist",227,325,0.0125137816979052,0.0184031710079275,-1.47063225587579
"spine",142,160,0.00782800441014333,0.00906002265005663,-1.15738599205653
"belly",201,227,0.0110804851157663,0.0128539071347678,-1.16004913146611
"hip",244,331,0.0134509371554576,0.0187429218573046,-1.39342869873568
"lap",338,426,0.018632855567806,0.0241223103057758,-1.29461156493128
"wrist",294,341,0.0162072767364939,0.0193091732729332,-1.191389126432
"nail",141,250,0.0077728776185226,0.0141562853907135,-1.8212412552308
"fingertip",169,165,0.00931642778390298,0.0093431483578709,-1.00286811367916
"thigh",240,254,0.0132304299889746,0.0143827859569649,-1.08709890524726
"ankle",203,262,0.0111907386990077,0.0148357870894677,-1.32572008769923
"toe",223,258,0.0122932745314223,0.0146092865232163,-1.18839667054325
"shoulder",557,539,0.0307056229327453,0.0305209513023783,1.00605065119162
"chest",478,390,0.0263506063947078,0.022083805209513,1.19320951007831
"lung",213,179,0.011742006615215,0.0101359003397508,1.15845718896479
"arm",619,582,0.0341234840132304,0.032955832389581,1.03543080356297
"rib",155,121,0.00854465270121279,0.00685164212910532,1.24709559259023
"gut",140,90,0.00771775082690187,0.00509626274065685,1.51439421781208
"back",564,353,0.0310915104740904,0.0199886749716874,1.55545630303806
"elbow",317,300,0.0174751929437707,0.0169875424688562,1.02870635795663
"forearm",166,115,0.00915104740904079,0.0065118912797282,1.40528258472748
"ass",134,108,0.00738699007717751,0.00611551528878822,1.20790967373106
"hand",647,627,0.0356670341786108,0.0355039637599094,1.00459302008655
"palm",293,267,0.0161521499448732,0.015118912797282,1.06834070421895
"thumb",302,209,0.0166482910694598,0.0118346545866365,1.40674076692181
"fist",374,273,0.0206174200661522,0.0154586636466591,1.33371296105585
"knuckle",184,128,0.0101433296582139,0.0072480181200453,1.3994625137817
"hair",579,615,0.0319184123484013,0.0348244620611552,-1.09104618616469
"eyelid",156,192,0.00859977949283352,0.0108720271800679,-1.26422162209252
"eye",642,628,0.0353914002205072,0.0355605889014723,-1.00478050260546
"cheek",448,487,0.024696802646086,0.0275764439411099,-1.11659976136547
"face",632,616,0.0348401323042999,0.034881087202718,-1.00117550926789
"lip",519,502,0.0286108048511577,0.0284258210645527,1.00650759695507
"smile",452,452,0.0249173098125689,0.02559456398641,-1.02718006795017
"head",640,628,0.0352811466372657,0.0355605889014723,-1.0079204416761
"brain",289,250,0.0159316427783903,0.0141562853907135,1.12541124586549
"forehead",420,381,0.0231532524807056,0.0215741789354473,1.07319275278021
"brow",283,229,0.0156008820286659,0.0129671574178935,1.20310732151197
"eyebrow",351,306,0.0193495038588754,0.0173272933182333,1.11670666061353
"pupil",112,85,0.0061742006615215,0.00481313703284258,1.28278098449964
"ear",507,479,0.0279492833517089,0.027123442808607,1.03044748223628
"nose",479,472,0.0264057331863286,0.026727066817667,-1.01216908574631
"nostril",152,124,0.00837927232635061,0.00702151755379388,1.19337055873671
"grin",169,75,0.00931642778390298,0.00424688561721404,2.19370819551635
"jaw",302,229,0.0166482910694598,0.0129671574178935,1.28388131129546
"mouth",569,556,0.031367144432194,0.0314835787089468,-1.00371198203918
"tooth",465,424,0.0256339581036384,0.0240090600226501,1.06767853799588
"neck",521,486,0.0287210584343991,0.027519818799547,1.04364998343928
"throat",448,428,0.024696802646086,0.0242355605889015,1.01903162320065
