BodyPart,Category
arm,arm
elbow,arm
forearm,arm
shoulder,arm
wrist,arm
ass,leg
bum,leg
butt,leg
rump,leg
cheek,face
chin,face
ear,face
eye,face
eyebrow,face
forehead,face
grin,face
hair,face
head,face
iris,face
lip,face
mouth,face
nose,face
nostril,face
scalp,face
smile,face
tongue,face
tooth,face
brow,face
gum,face
pupil,face
beard,face
cheekbone,face
eyelash,face
eyelid,face
jaw,face
jawline,face
moustache,face
foot,leg
toe,leg
toenail,leg
sole,leg
body,general
skin,general
finger,arm
hand,arm
palm,arm
thumb,arm
knuckle,arm
digit,arm
fingernail,arm
fingertip,arm
thumbnail,arm
calf,leg
knee,leg
leg,leg
thigh,leg
lap,leg
ankle,leg
neck,face
throat,face
nape,face
bone,general
brain,face
heart,torso
lung,torso
spine,torso
rib,torso
liver,torso
intestine,torso
kidney,torso
manhood,sex
member,sex
ball,sex
anus,leg
cock,sex
penis,sex
girth,sex
testicle,sex
tit,sex
genital,leg
dick,sex
vagina,sex
loin,sex
cunt,sex
pussy,sex
genitalia,leg
bust,sex
womanhood,sex
boner,sex
cooch,sex
back,torso
belly,torso
chest,torso
curve,torso
gut,torso
hip,torso
stomach,torso
torso,torso
waist,torso
breast,torso
collar,torso
collarbone,torso
crotch,torso
nipple,torso
areola,torso
buttock,torso
arse,torso
bottom,torso
pectoral,torso
pec,torso
tendon,general
ligament,general
fist,arm
face,face
curl,hair
braid,hair
nail,arm
