"","BodyPart","totalM","totalF","pctM","pctF","diff"
"1","skin",439,449,0.0249985763908661,0.026342035787621,-1.05374143614217
"2","breast",115,384,0.00654860201583053,0.022528600762687,-3.4402152869004
"3","body",550,565,0.0313194009452765,0.0331475506013494,-1.05837115656418
"4","stomach",336,338,0.0191333067592962,0.0198298621296568,-1.03640538350864
"5","waist",227,325,0.0129263709355959,0.01906717512467,-1.475060186627
"6","spine",142,160,0.00808609988041683,0.00938691698445292,-1.16087076876041
"7","belly",201,227,0.0114458174363647,0.0133176884716926,-1.16354192662385
"8","hip",244,331,0.0138944251466317,0.019419184511587,-1.39762417708188
"9","lap",338,426,0.0192471954900063,0.0249926664711059,-1.29850951449435
"10","wrist",294,341,0.0167416434143841,0.0200058668231153,-1.19497628326778
"11","nail",141,250,0.00802915551506178,0.0146670577882077,-1.82672483559372
"12","fingertip",169,165,0.00962359774500313,0.00968025814021707,-1.00588765207309
"13","thigh",240,254,0.0136666476852115,0.014901730712819,-1.09037205436589
"14","ankle",203,262,0.0115597061670748,0.0153710765620417,-1.32971170200007
"15","toe",223,258,0.0126985934741757,0.0151364036374303,-1.19197481738526
"16","shoulder",557,539,0.0317180115027618,0.0316221765913758,1.00303062349643
"17","chest",478,390,0.027219406639713,0.022880610149604,1.18962765685617
"18","lung",213,179,0.0121291498206252,0.0105016133763567,1.15497965750032
"19","arm",619,582,0.0352485621547748,0.0341449105309475,1.03232258063254
"20","rib",155,121,0.00882637663003246,0.00709885596949252,1.24335198065209
"21","gut",140,90,0.00797221114970674,0.00528014080375477,1.50984821163057
"22","back",564,353,0.0321166220602471,0.0207098855969493,1.55078703404224
"23","elbow",317,300,0.0180513638175503,0.0176004693458492,1.02561832090048
"24","forearm",166,115,0.00945276464893799,0.00674684658257554,1.40106411687955
"25","ass",134,108,0.00763054495757645,0.00633616896450572,1.2042836926101
"26","hand",647,627,0.0368430043847161,0.0367849809328249,1.00157736800237
"27","palm",293,267,0.0166846990490291,0.0156644177178058,1.06513369022734
"28","thumb",302,209,0.0171971983372245,0.0122616603109416,1.40251792180858
"29","fist",374,273,0.021297192642788,0.0160164271047228,1.32970933551766
"30","knuckle",184,128,0.0104777632253289,0.00750953358756234,1.39526151699789
"31","hiar",0,0,0,0,NA
"32","eyelid",156,192,0.00888332099538751,0.0112643003813435,-1.26802807049214
"33","eye",642,628,0.0365582825579409,0.0368436491639777,-1.00780579901653
"34","cheek",448,487,0.0255110756790616,0.0285714285714286,-1.11996173469388
"35","face",632,616,0.0359888389043904,0.0361396303901437,-1.00418995139448
"36","lip",519,502,0.02955412561927,0.029451452038721,1.00348619757063
"37","smile",452,452,0.0257388531404818,0.0265180404810795,-1.03027280727486
"38","head",640,628,0.0364443938272308,0.0368436491639777,-1.01095519213846
"39","brain",289,250,0.0164569215876089,0.0146670577882077,1.12203291384318
"40","forehead",420,381,0.0239166334491202,0.0223525960692285,1.06997117359647
"41","brow",283,229,0.0161152553954786,0.0134350249339982,1.19949575640145
"42","eyebrow",351,306,0.0199874722396219,0.0179524787327662,1.11335445857632
"43","pupil",112,85,0.00637776891976539,0.00498679964799061,1.27893024985178
"44","ear",507,479,0.0288707932350094,0.0281020827222059,1.02735421856103
"45","nose",479,472,0.027276351005068,0.0276914051041361,-1.01521662846291
"46","nostril",152,124,0.00865554353396731,0.00727486066295101,1.18978822206833
"47","grin",169,75,0.00962359774500313,0.00440011733646231,2.18712298084771
"48","jaw",302,229,0.0171971983372245,0.0134350249339982,1.28002727361569
"49","mouth",569,556,0.0324013438870224,0.0326195365209739,-1.0067340612387
"50","tooth",465,424,0.0264791298900974,0.0248753300088002,1.06447351173752
"51","neck",521,486,0.0296680143499801,0.0285127603402757,1.04051708764488
"52","throat",448,428,0.0255110756790616,0.0251100029334116,1.01597262838693
