ID,Title,Author,Author_gender,Category,Year_published,Genres,Has_male_author,Has_female_author,Only_male_author,Only_female_author
1,A Bell For Adano ,John Hersey,M,Fiction,1944,fiction; historical; classics; cultural,TRUE,FALSE,TRUE,FALSE
2,A Heartbreaking Work Of Staggering Genius ,Dave Eggers,M,Nonfiction,2000,fiction,TRUE,FALSE,TRUE,FALSE
3,A Month In The Country,J. L. Carr,M,Fiction,1980,fiction; historical; classics; european-literature; art,TRUE,FALSE,TRUE,FALSE
4,A Voyage Long And Strange,Tony Horwitz,M,Nonfiction,2008,history; non-fiction; travel; north-american-history,TRUE,FALSE,TRUE,FALSE
5,Agenda 21,Glenn Beck with Harriet Parke,MF,Fiction,2012,fiction; science-fiction; science-fiction; politics; thriller,TRUE,TRUE,FALSE,FALSE
6,America By Heart,Sarah Palin,F,Nonfiction,2010,non-fiction; politics; biography; autobiography,FALSE,TRUE,FALSE,TRUE
7,An Unfinished Season ,Ward Just,M,Fiction,2004,fiction; historical; novels; young-adult,TRUE,FALSE,TRUE,FALSE
8,And Then We Heard The Thunder ,John Killens,M,Fiction,1963,fiction; historical; cultural; war; war,TRUE,FALSE,TRUE,FALSE
9,Bear And His Daughter: Stories ,Robert Stone,M,Fiction,1997,short-stories; fiction; american,TRUE,FALSE,TRUE,FALSE
10,Chaos: Making A New Science ,James Gleick,M,Nonfiction,1987,science; non-fiction; science; science,TRUE,FALSE,TRUE,FALSE
11,Chasing Darkness,Robert Crais,M,Fiction,2008,mystery; fiction; mystery; thriller; mystery,TRUE,FALSE,TRUE,FALSE
12,China Men ,Maxine Hong Kingston,F,Nonfiction,1980,fiction; cultural; historical; short-stories; literature,FALSE,TRUE,FALSE,TRUE
13,Coming Of Age In The Milky Way ,Timothy Ferris,M,Nonfiction,1988,science; non-fiction; history; science; science,TRUE,FALSE,TRUE,FALSE
14,Common Ground: A Turbulent Decade In The Lives Of Three American Families ,J. Anthony Lukas,M,Nonfiction,1985,non-fiction; history; education; politics; race,TRUE,FALSE,TRUE,FALSE
